epoch,total_loss,contrastive_loss,classification_loss,accuracy,precision,recall,f1_score,learning_rate
1,1.769885,2.202162,0.668804,0.500000,0.250000,0.500000,0.333333,0.00009755
2,1.749870,2.096720,0.701510,0.500000,0.250000,0.500000,0.333333,0.00009045
3,1.731107,2.080968,0.690622,0.500000,0.250000,0.500000,0.333333,0.00007939
4,1.768953,2.080303,0.728802,0.500000,0.250000,0.500000,0.333333,0.00006545
5,1.731880,2.081590,0.691085,0.500000,0.250000,0.500000,0.333333,0.00005000
6,1.727959,2.080694,0.687612,0.500000,0.250000,0.500000,0.333333,0.00003455
7,1.752953,2.080054,0.712926,0.500000,0.250000,0.500000,0.333333,0.00002061
8,1.771534,2.080035,0.731516,0.500000,0.250000,0.500000,0.333333,0.00000955
9,1.779050,2.079390,0.739356,0.500000,0.250000,0.500000,0.333333,0.00000245
10,1.753963,2.080150,0.713888,0.500000,0.250000,0.500000,0.333333,0.00000000
